"","player","three_pt_att","three_pt_made","three_pt_pct"
"1","Joe Harris",386,183,0.474
"2","Danny Green",435,198,0.455
"3","Seth Curry",251,113,0.45
"4","Stephen Curry",810,354,0.437
"5","Tobias Harris",258,112,0.434
"6","Danilo Gallinari",372,161,0.433
"7","Dāvis Bertāns",338,145,0.429
"8","Buddy Hield",651,278,0.427
"9","Malcolm Brogdon",244,104,0.426
"10","Bryn Forbes",413,176,0.426
"11","Bojan Bogdanović",386,164,0.425
"12","Landry Shamet",396,167,0.422
"13","D.J. Augustin",311,131,0.421
"14","Monte Morris",227,94,0.414
"15","Doug McDermott",206,84,0.408
"16","Otto Porter Jr.",256,104,0.406
"17","Quinn Cook",200,81,0.405
"18","Landry Shamet",245,99,0.404
"19","Malik Beasley",405,163,0.402
"20","Collin Sexton",296,119,0.402
"21","Klay Thompson",599,241,0.402
"22","Nemanja Bjelica",257,103,0.401
"23","Kyrie Irving",434,174,0.401
"24","Mike Scott",252,101,0.401
"25","Karl-Anthony Towns",355,142,0.4
"26","Patrick Beverley",282,112,0.397
"27","Tobias Harris",393,156,0.397
"28","Kyle Korver",348,138,0.397
"29","J.J. Redick",605,240,0.397
"30","Tony Snell",204,81,0.397
"31","Harrison Barnes",441,174,0.395
"32","Luke Kennard",269,106,0.394
"33","Patty Mills",404,159,0.394
"34","Jerami Grant",293,115,0.392
"35","Joe Ingles",483,189,0.391
"36","Taurean Prince",315,123,0.39
"37","Harrison Barnes",311,121,0.389
"38","Nicolas Batum",298,116,0.389
"39","Vince Carter",316,123,0.389
"40","Reggie Bullock",294,114,0.388
"41","Paul George",757,292,0.386
"42","Kevin Huerter",353,136,0.385
"43","Kyle Korver",294,113,0.384
"44","Terrence Ross",566,217,0.383
"45","Dario Šarić",253,97,0.383
"46","Dewayne Dedmon",217,83,0.382
"47","Wesley Matthews",263,100,0.38
"48","Robert Covington",225,85,0.378
"49","Allen Crabbe",259,98,0.378
"50","Khris Middleton",474,179,0.378
"51","Fred VanVleet",296,112,0.378
"52","Reggie Bullock",393,148,0.377
"53","Anthony Tolliver",215,81,0.377
"54","P.J. Tucker",387,146,0.377
"55","Dion Waiters",289,109,0.377
"56","CJ McCollum",445,167,0.375
"57","Marcus Morris",389,146,0.375
"58","Justise Winslow",256,96,0.375
"59","Zach LaVine",321,120,0.374
"60","Ryan Arcidiacono",217,81,0.373
"61","Wayne Ellington",217,81,0.373
"62","Jayson Tatum",311,116,0.373
"63","Marco Belinelli",395,147,0.372
"64","Wesley Matthews",403,150,0.372
"65","Wayne Ellington",372,138,0.371
"66","De'Aaron Fox",232,86,0.371
"67","Kawhi Leonard",302,112,0.371
"68","Reggie Jackson",471,174,0.369
"69","Damian Lillard",643,237,0.369
"70","D'Angelo Russell",635,234,0.369
"71","Pascal Siakam",214,79,0.369
"72","Damyean Dotson",342,126,0.368
"73","James Harden",1028,378,0.368
"74","Nikola Mirotić",231,85,0.368
"75","Jamal Murray",414,152,0.367
"76","Terrance Ferguson",290,106,0.366
"77","Iman Shumpert",202,74,0.366
"78","Marvin Williams",382,140,0.366
"79","Brook Lopez",512,187,0.365
"80","Darius Miller",364,133,0.365
"81","Nikola Mirotić",318,116,0.365
"82","Dario Šarić",323,118,0.365
"83","Mike Conley",426,155,0.364
"84","Marcus Smart",346,126,0.364
"85","Nikola Vučević",231,84,0.364
"86","Marc Gasol",273,99,0.363
"87","Alex Len",204,74,0.363
"88","Blake Griffin",522,189,0.362
"89","Donovan Mitchell",519,188,0.362
"90","Lauri Markkanen",332,120,0.361
"91","Lou Williams",291,105,0.361
"92","Bogdan Bogdanović",372,134,0.36
"93","Eric Gordon",600,216,0.36
"94","Al Horford",203,73,0.36
"95","Justin Holiday",270,97,0.359
"96","Chris Paul",355,127,0.358
"97","Josh Richardson",460,164,0.357
"98","Tyreke Evans",216,77,0.356
"99","Rodney Hood",236,84,0.356
"100","Kemba Walker",731,260,0.356
"101","Langston Galloway",380,135,0.355
"102","Justin Jackson",245,87,0.355
"103","Gerald Green",441,156,0.354
"104","Kelly Olynyk",319,113,0.354
"105","Kevin Durant",388,137,0.353
"106","Tyler Johnson",204,72,0.353
"107","Maxi Kleber",218,77,0.353
"108","Terry Rozier",337,119,0.353
"109","Garrett Temple",210,74,0.352
"110","Bradley Beal",596,209,0.351
"111","Avery Bradley",245,86,0.351
"112","Rodney McGruder",225,79,0.351
"113","Aaron Gordon",347,121,0.349
"114","Justin Holiday",465,162,0.348
"115","Jeremy Lamb",330,115,0.348
"116","Mike Muscala",256,89,0.348
"117","Cedi Osman",374,130,0.348
"118","Iman Shumpert",273,95,0.348
"119","Kentavious Caldwell-Pope",435,151,0.347
"120","Jeff Green",320,111,0.347
"121","Tim Hardaway Jr.",337,117,0.347
"122","Kyle Lowry",453,157,0.347
"123","Tyler Johnson",260,90,0.346
"124","Jaylen Brown",276,95,0.344
"125","Marc Gasol",221,76,0.344
"126","Al-Farouq Aminu",280,96,0.343
"127","Kevin Knox",364,125,0.343
"128","Victor Oladipo",216,74,0.343
"129","DeMarre Carroll",310,106,0.342
"130","Dennis Schröder",364,124,0.341
"131","Garrett Temple",264,90,0.341
"132","Evan Fournier",450,153,0.34
"133","Tim Hardaway Jr.",477,162,0.34
"134","Gary Harris",242,82,0.339
"135","LeBron James",327,111,0.339
"136","Andrew Wiggins",348,118,0.339
"137","Josh Hart",274,92,0.336
"138","Mikal Bridges",313,105,0.335
"139","Spencer Dinwiddie",370,124,0.335
"140","Markieff Morris",203,68,0.335
"141","Trevor Ariza",434,145,0.334
"142","Gordon Hayward",231,77,0.333
"143","Shabazz Napier",228,76,0.333
"144","OG Anunoby",202,67,0.332
"145","Jamal Crawford",202,67,0.332
"146","Jae Crowder",522,173,0.331
"147","Pat Connaughton",200,66,0.33
"148","C.J. Miles",203,67,0.33
"149","Malik Monk",330,109,0.33
"150","Dwyane Wade",261,86,0.33
"151","Lonzo Ball",228,75,0.329
"152","Eric Bledsoe",377,124,0.329
"153","Emmanuel Mudiay",210,69,0.329
"154","Ian Clark",202,66,0.327
"155","Luka Dončić",514,168,0.327
"156","Devin Booker",414,135,0.326
"157","Miles Bridges",200,65,0.325
"158","Jrue Holiday",363,118,0.325
"159","Kelly Oubre Jr.",206,67,0.325
"160","Jordan Clarkson",445,144,0.324
"161","Josh Jackson",225,73,0.324
"162","Trae Young",482,156,0.324
"163","Jonathan Isaac",266,86,0.323
"164","Trevor Ariza",295,95,0.322
"165","Dennis Smith Jr.",208,67,0.322
"166","Austin Rivers",221,71,0.321
"167","Kent Bazemore",300,96,0.32
"168","Kelly Oubre Jr.",338,108,0.32
"169","Austin Rivers",327,104,0.318
"170","Dirk Nowitzki",205,64,0.312
"171","Dorian Finney-Smith",254,79,0.311
"172","Ricky Rubio",254,79,0.311
"173","Devin Harris",200,62,0.31
"174","Nikola Jokić",270,83,0.307
"175","Kyle Kuzma",422,128,0.303
"176","Joel Embiid",263,79,0.3
"177","Russell Westbrook",411,119,0.29
"178","Stanley Johnson",215,62,0.288
"179","Josh Okogie",215,60,0.279
"180","Giannis Antetokounmpo",203,52,0.256
"181","Trey Lyles",200,51,0.255
"182","J.J. Redick",397,180,0.453
"183","Seth Curry",321,145,0.452
"184","Duncan Robinson",606,270,0.446
"185","Marcus Morris",264,116,0.439
"186","Doug McDermott",294,128,0.435
"187","Dāvis Bertāns",472,200,0.424
"188","Joe Harris",406,172,0.424
"189","Nemanja Bjelica",320,134,0.419
"190","Kyle Korver",237,99,0.418
"191","Gary Trent Jr.",268,112,0.418
"192","Khris Middleton",354,147,0.415
"193","Bojan Bogdanović",457,189,0.414
"194","Paul George",381,157,0.412
"195","Karl-Anthony Towns",277,114,0.412
"196","Marcus Morris",348,142,0.408
"197","Terry Rozier",423,172,0.407
"198","Kelly Olynyk",234,95,0.406
"199","Danilo Gallinari",439,178,0.405
"200","Justin Holiday",331,134,0.405
"201","Svi Mykhailiuk",285,115,0.404
"202","Jayson Tatum",469,189,0.403
"203","T.J. Warren",226,91,0.403
"204","Furkan Korkmaz",356,143,0.402
"205","Tony Snell",254,102,0.402
"206","Damian Lillard",674,270,0.401
"207","Ben McLemore",452,181,0.4
"208","Georges Niang",225,90,0.4
"209","Evan Fournier",434,173,0.399
"210","Langston Galloway",331,132,0.399
"211","Joe Ingles",353,141,0.399
"212","Norman Powell",273,109,0.399
"213","Tim Hardaway Jr.",513,204,0.398
"214","Buddy Hield",688,271,0.394
"215","Aaron Holiday",221,87,0.394
"216","Jaren Jackson Jr.",368,145,0.394
"217","Brandon Ingram",384,150,0.391
"218","OG Anunoby",228,89,0.39
"219","Cameron Johnson",272,106,0.39
"220","Fred VanVleet",374,146,0.39
"221","Jerami Grant",252,98,0.389
"222","Tyler Herro",298,116,0.389
"223","Malik Beasley",276,107,0.388
"224","Patrick Beverley",206,80,0.388
"225","Terence Davis",242,94,0.388
"226","Bryn Forbes",381,148,0.388
"227","JaMychal Green",238,92,0.387
"228","Markieff Morris",228,88,0.386
"229","Carmelo Anthony",226,87,0.385
"230","Alec Burks",301,116,0.385
"231","Kentavious Caldwell-Pope",239,92,0.385
"232","Dennis Schröder",325,125,0.385
"233","Gordon Hayward",222,85,0.383
"234","Cedi Osman",321,123,0.383
"235","Jaylen Brown",338,129,0.382
"236","Patty Mills",403,154,0.382
"237","Harrison Barnes",268,102,0.381
"238","Kemba Walker",473,180,0.381
"239","Kevin Huerter",334,127,0.38
"240","Zach LaVine",484,184,0.38
"241","Collin Sexton",255,97,0.38
"242","CJ McCollum",512,194,0.379
"243","Kawhi Leonard",325,123,0.378
"244","Royce O'Neale",244,92,0.377
"245","Dorian Finney-Smith",303,114,0.376
"246","Lonzo Ball",395,148,0.375
"247","Will Barton",288,108,0.375
"248","Alec Burks",224,84,0.375
"249","Mike Conley",256,96,0.375
"250","Landry Shamet",296,111,0.375
"251","Kevin Love",390,146,0.374
"252","D'Angelo Russell",321,120,0.374
"253","P.J. Washington",230,86,0.374
"254","Devonte' Graham",585,218,0.373
"255","Maxi Kleber",319,119,0.373
"256","Trevor Ariza",207,77,0.372
"257","Bogdan Bogdanović",441,164,0.372
"258","Mike Scott",217,80,0.369
"259","Jordan Clarkson",413,152,0.368
"260","Goran Dragić",338,124,0.367
"261","Danny Green",327,120,0.367
"262","Tobias Harris",357,131,0.367
"263","D'Angelo Russell",431,158,0.367
"264","Jordan Clarkson",254,93,0.366
"265","Donovan Mitchell",473,173,0.366
"266","Derrick White",216,79,0.366
"267","Chris Paul",304,111,0.365
"268","Caris LeVert",220,80,0.364
"269","Wesley Matthews",297,108,0.364
"270","Danuel House Jr.",355,129,0.363
"271","Ricky Rubio",216,78,0.361
"272","Trae Young",568,205,0.361
"273","Pascal Siakam",365,131,0.359
"274","Dillon Brooks",411,147,0.358
"275","P.J. Tucker",299,107,0.358
"276","Dario Šarić",235,84,0.357
"277","Damion Lee",239,85,0.356
"278","Austin Rivers",270,96,0.356
"279","Thaddeus Young",222,79,0.356
"280","Darius Garland",296,105,0.355
"281","James Harden",843,299,0.355
"282","De'Andre Hunter",304,108,0.355
"283","Devin Booker",398,141,0.354
"284","Coby White",376,133,0.354
"285","Bradley Beal",481,170,0.353
"286","Jrue Holiday",346,122,0.353
"287","Kyle Lowry",466,164,0.352
"288","Kelly Oubre Jr.",307,108,0.352
"289","Kristaps Porziņģis",403,142,0.352
"290","Lou Williams",315,111,0.352
"291","Terrence Ross",504,177,0.351
"292","Al Horford",283,99,0.35
"293","Kendrick Nunn",391,137,0.35
"294","D.J. Augustin",201,70,0.348
"295","LeBron James",425,148,0.348
"296","Shai Gilgeous-Alexander",251,87,0.347
"297","Marcus Smart",395,137,0.347
"298","Robert Covington",312,108,0.346
"299","Jamal Murray",324,112,0.346
"300","Kent Bazemore",244,84,0.344
"301","Eric Bledsoe",215,74,0.344
"302","Lauri Markkanen",317,109,0.344
