"","player","three_pt_att","three_pt_made","three_pt_pct"
"1","Luke Kennard",409,184,0.45
"2","Cameron Johnson",376,164,0.436
"3","Kyrie Irving",214,92,0.43
"4","Desmond Bane",517,222,0.429
"5","Tyrese Maxey",294,126,0.429
"6","Seth Curry",361,153,0.424
"7","Lonzo Ball",260,110,0.423
"8","Doug McDermott",256,108,0.422
"9","Grant Williams",249,104,0.418
"10","Jrue Holiday",308,128,0.416
"11","Tyrese Haliburton",383,159,0.415
"12","Tyrese Haliburton",252,104,0.413
"13","Bryn Forbes",284,117,0.412
"14","Eric Gordon",301,124,0.412
"15","Payton Pritchard",228,94,0.412
"16","Josh Richardson",231,95,0.411
"17","Mike Conley",402,165,0.41
"18","Grayson Allen",389,159,0.409
"19","Max Strus",439,179,0.408
"20","Norman Powell",243,99,0.407
"21","Karl-Anthony Towns",359,146,0.407
"22","Norman Powell",229,93,0.406
"23","Anfernee Simons",442,179,0.405
"24","Keldon Johnson",387,156,0.403
"25","Georges Niang",380,153,0.403
"26","Alec Burks",373,150,0.402
"27","Seth Curry",250,100,0.4
"28","Nicolas Batum",266,106,0.398
"29","Tyler Herro",437,174,0.398
"30","Patty Mills",551,218,0.396
"31","Harrison Barnes",357,141,0.395
"32","Pat Connaughton",360,142,0.394
"33","Monte Morris",310,122,0.394
"34","Evan Fournier",593,233,0.393
"35","Tyus Jones",201,79,0.393
"36","Zach LaVine",466,183,0.393
"37","Royce O'Neale",298,117,0.393
"38","Bobby Portis",331,130,0.393
"39","Andrew Wiggins",387,152,0.393
"40","Kevin Durant",278,109,0.392
"41","Gordon Hayward",220,86,0.391
"42","Kevin Huerter",396,155,0.391
"43","Malik Monk",414,162,0.391
"44","Avery Bradley",210,82,0.39
"45","Kentavious Caldwell-Pope",405,158,0.39
"46","Christian Wood",336,131,0.39
"47","Bojan Bogdanović",453,176,0.389
"48","CJ McCollum",451,175,0.388
"49","Kevin Love",460,177,0.385
"50","Gary Harris",302,116,0.384
"51","CJ McCollum",289,111,0.384
"52","Devin Booker",473,181,0.383
"53","Dorian Finney-Smith",418,160,0.383
"54","Trae Young",583,223,0.383
"55","Taurean Prince",226,86,0.381
"56","LaMelo Ball",539,205,0.38
"57","Stephen Curry",750,285,0.38
"58","Malik Beasley",620,235,0.379
"59","Darius Garland",443,168,0.379
"60","Justin Holiday",336,127,0.378
"61","Gary Trent Jr.",525,198,0.377
"62","Fred VanVleet",642,242,0.377
"63","Mo Bamba",271,102,0.376
"64","Carmelo Anthony",397,149,0.375
"65","Robert Covington",325,122,0.375
"66","Kyle Lowry",379,142,0.375
"67","De'Anthony Melton",352,132,0.375
"68","Marcus Morris",261,98,0.375
"69","Terry Rozier",571,214,0.375
"70","Coby White",341,128,0.375
"71","Khris Middleton",419,156,0.372
"72","Duncan Robinson",610,227,0.372
"73","Jalen Brunson",240,89,0.371
"74","Joel Embiid",245,91,0.371
"75","Landry Shamet",313,116,0.371
"76","Klay Thompson",272,101,0.371
"77","Mikal Bridges",308,114,0.37
"78","Danilo Gallinari",273,101,0.37
"79","Kevin Porter Jr.",392,145,0.37
"80","OG Anunoby",312,115,0.369
"81","Chris Duarte",255,94,0.369
"82","Danny Green",252,93,0.369
"83","Amir Coffey",242,89,0.368
"84","Buddy Hield",495,182,0.368
"85","Jordan Poole",552,203,0.368
"86","Otto Porter Jr.",209,77,0.368
"87","Tobias Harris",267,98,0.367
"88","Will Barton",424,155,0.366
"89","Buddy Hield",697,255,0.366
"90","Duane Washington Jr.",205,75,0.366
"91","P.J. Washington",297,108,0.364
"92","Bones Hyland",344,125,0.363
"93","Gabe Vincent",314,114,0.363
"94","Buddy Hield",202,73,0.361
"95","Justin Holiday",471,170,0.361
"96","Terance Mann",202,73,0.361
"97","Bogdan Bogdanović",433,156,0.36
"98","Jaylen Brown",445,160,0.36
"99","Reggie Bullock",378,136,0.36
"100","Tre Mann",272,98,0.36
"101","LeBron James",448,161,0.359
"102","Anthony Edwards",584,209,0.358
"103","Jerami Grant",254,91,0.358
"104","Devin Vassell",364,130,0.357
"105","Ben McLemore",402,143,0.356
"106","Cedi Osman",351,125,0.356
"107","Franz Wagner",270,96,0.356
"108","Garrison Mathews",377,134,0.355
"109","Donovan Mitchell",650,231,0.355
"110","Pascal Siakam",209,74,0.354
"111","Luka Dončić",539,190,0.353
"112","Lauri Markkanen",368,130,0.353
"113","Saddiq Bey",591,208,0.352
"114","Jayson Tatum",635,223,0.351
"115","Jae Crowder",361,126,0.349
"116","Jordan Nwora",218,76,0.349
"117","Patrick Beverley",236,82,0.347
"118","Joe Ingles",225,78,0.347
"119","Corey Kispert",300,104,0.347
"120","Austin Rivers",225,78,0.347
"121","RJ Barrett",393,136,0.346
"122","Immanuel Quickley",370,128,0.346
"123","Jalen Green",444,153,0.345
"124","Dennis Schröder",250,86,0.344
"125","Robert Covington",230,79,0.343
"126","Paul George",242,83,0.343
"127","Josh Hart",213,73,0.343
"128","Devonte' Graham",555,190,0.342
"129","Kelly Oubre Jr.",535,183,0.342
"130","Kyle Kuzma",375,128,0.341
"131","Ja Morant",253,86,0.34
"132","D'Angelo Russell",518,176,0.34
"133","Cole Anthony",391,132,0.338
"134","Oshae Brissett",222,75,0.338
"135","Nikola Jokić",285,96,0.337
"136","Tim Hardaway Jr.",304,102,0.336
"137","Spencer Dinwiddie",321,107,0.333
"138","James Harden",435,145,0.333
"139","Donte DiVincenzo",208,69,0.332
"140","Luguentz Dort",391,130,0.332
"141","James Harden",307,102,0.332
"142","Cameron Payne",205,68,0.332
"143","Miles Bridges",450,149,0.331
"144","Dejounte Murray",288,95,0.33
"145","Aaron Gordon",255,84,0.329
"146","Reggie Jackson",504,166,0.329
"147","Caris LeVert",250,82,0.328
"148","Wendell Carter Jr.",214,70,0.327
"149","Brandon Ingram",226,74,0.327
"150","Torrey Craig",215,70,0.326
"151","Al Horford",261,85,0.326
"152","Deni Avdija",243,79,0.325
"153","Maxi Kleber",255,83,0.325
"154","Damian Lillard",284,92,0.324
"155","Trey Lyles",205,66,0.322
"156","Marcus Smart",338,109,0.322
"157","Dāvis Bertāns",218,70,0.321
"158","Cade Cunningham",354,113,0.319
"159","Jaren Jackson Jr.",395,126,0.319
"160","Jordan Clarkson",576,183,0.318
"161","Davion Mitchell",313,99,0.316
"162","Frank Jackson",267,84,0.315
"163","Nikola Vučević",327,103,0.315
"164","Lonnie Walker IV",346,109,0.315
"165","Derrick White",258,81,0.314
"166","Jaden McDaniels",246,77,0.313
"167","Chuma Okeke",348,109,0.313
"168","Nickeil Alexander-Walker",305,95,0.311
"169","Spencer Dinwiddie",226,70,0.31
"170","Julius Randle",390,120,0.308
"171","Nickeil Alexander-Walker",332,102,0.307
"172","Derrick White",356,109,0.306
"173","Kristaps Porziņģis",244,74,0.303
"174","Armoni Brooks",242,73,0.302
"175","Ziaire Williams",219,66,0.301
"176","Bradley Beal",210,63,0.3
"177","Armoni Brooks",213,64,0.3
"178","Shai Gilgeous-Alexander",297,89,0.3
"179","Giannis Antetokounmpo",235,70,0.298
"180","Russell Westbrook",265,79,0.298
"181","Darius Bazley",269,80,0.297
"182","De'Aaron Fox",249,74,0.297
"183","Chris Boucher",217,64,0.295
"184","Furkan Korkmaz",259,76,0.293
"185","Terrence Ross",264,77,0.292
"186","Josh Giddey",213,56,0.263
